Blazes killed,Blaze rod drops,Player
12,6,Dream
11,7,Dream
16,8,Dream
10,7,Dream
13,8,Dream
11,8,Dream
5,5,Dream
4,3,Dream
1,1,Dream
14,8,Dream
10,8,Dream
8,6,Dream
9,8,Dream
8,6,Dream
4,3,Dream
2,1,Dream
9,7,Dream
11,7,Dream
9,7,Dream
7,7,Dream
8,7,Dream
4,3,Dream
12,8,Dream
9,8,Dream
10,6,Dream
15,8,Dream
10,7,Dream
15,7,Dream
11,7,Dream
9,7,Dream
10,7,Dream
9,7,Dream
9,8,Dream
11,6,Benex
15,7,Benex
14,6,Benex
8,7,Benex
13,6,Benex
12,7,Benex
16,7,Benex
14,10,Benex
7,3,Benex
14,5,Benex
11,8,Benex
2,1,Illumina
11,6,Illumina
14,6,Illumina
11,6,Illumina
13,6,Illumina
12,6,Illumina
13,5,Illumina
1,1,Illumina
5,2,Illumina
8,6,Illumina
10,7,Illumina
14,7,Illumina
12,7,Illumina
12,7,Illumina
17,7,Illumina
8,7,Illumina
10,6,Sizzler
10,6,Sizzler
16,8,Sizzler
7,4,Sizzler
5,2,Sizzler
11,6,Sizzler
12,7,Sizzler
8,6,Sizzler
11,6,Sizzler
12,6,Sizzler
20,7,Sizzler
1,0,Sizzler
12,6,Sizzler
11,7,Sizzler
8,6,Sizzler
11,6,Sizzler
10,7,Sizzler
14,7,Vadikus007
12,6,Vadikus007
14,6,Vadikus007
11,6,Vadikus007
13,7,Vadikus007
2,1,Vadikus007
13,7,Vadikus007
12,8,Vadikus007
15,7,Vadikus007
6,1,Vadikus007
3,2,Vadikus007
